"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 2, 3
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\404.html", "HTML", 0, 0, 0, 0, 32, 0, 2, 34
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\asset-manifest.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\static\css\main.40633199.css", "CSS", 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\build\static\js\main.bb444c6d.js", "JavaScript", 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\firebase.json", "JSON", 0, 0, 0, 7, 0, 16, 0, 23
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\package-lock.json", "JSON", 0, 0, 0, 32297, 0, 0, 1, 32298
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\package.json", "JSON", 0, 0, 0, 50, 0, 0, 1, 51
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\public\404.html", "HTML", 0, 0, 0, 0, 32, 0, 2, 34
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\API\ProductsAPI.js", "JavaScript", 19, 0, 0, 0, 0, 4, 5, 28
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\App.css", "CSS", 0, 528, 0, 0, 0, 26, 174, 728
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\App.js", "JavaScript", 335, 0, 0, 0, 0, 53, 110, 498
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Components\Footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Components\Header.js", "JavaScript", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Details\Order.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
